#{"t_start": 1742142969.09645, "env_id": "None"}
r,l,t
35.0,3,20.070428
35.0,3,20.076092
35.0,3,20.081675
-15.0,9,20.09573
35.0,3,20.101214
30.0,2,20.104991
0.0,6,20.114391
5.0,1,20.117515
0.0,6,20.126575
5.0,1,20.129715
5.0,1,20.132753
-30.0,12,20.147934
0.0,6,20.156868
30.0,2,20.160994
-15.0,9,20.173203
35.0,3,20.179034
0.0,6,20.189145
35.0,3,20.194892
56.666667,8,20.20624
-15.0,9,20.219446
-15.0,9,20.231425
35.0,3,20.237107
-30.0,12,20.252461
30.0,4,20.260475
-60.0,18,20.282262
0.0,6,20.291229
5.0,1,20.294345
5.0,9,20.306285
-15.0,9,20.319698
5.0,1,20.32317
5.0,1,20.326076
-45.0,15,20.346135
5.0,1,20.34963
0.0,6,20.359768
-30.0,12,20.375043
35.0,3,20.380978
0.0,6,20.39013
30.0,2,20.394513
5.0,1,20.397829
30.0,2,20.402317
-5.0,7,20.412525
30.0,2,20.416365
-5.0,11,20.431084
0.0,6,20.439523
-30.0,12,20.456264
30.0,2,20.460798
30.0,2,20.465249
0.0,6,20.47444
-30.0,12,20.490996
0.0,6,20.501211
5.0,1,20.504521
5.0,1,20.50736
0.0,6,20.516408
37.5,7,20.526962
5.0,1,20.53063
-5.0,11,20.544184
5.0,1,20.547112
10.0,8,20.558396
0.0,6,20.56747
5.0,1,20.570565
30.0,2,20.574573
5.0,1,20.577551
5.0,1,20.580524
5.0,1,20.583789
35.0,3,20.58917
-15.0,9,20.60172
5.0,1,20.604814
30.0,2,20.608736
35.0,3,20.614063
30.0,2,20.618509
0.0,6,20.628218
-30.0,12,20.644067
5.0,1,20.647494
30.0,2,20.651414
30.0,2,20.655345
0.0,6,20.663786
53.333333,4,20.67097
0.0,6,20.679711
-30.0,12,20.695442
5.0,1,20.698313
30.0,2,20.702525
35.0,3,20.708194
35.0,3,20.714571
35.0,3,20.720374
0.0,6,20.729712
5.0,1,20.732652
-15.0,9,20.745144
35.0,3,20.750825
30.0,2,20.754806
30.0,2,20.758934
35.0,3,20.764179
6.666667,13,20.780678
35.0,3,20.786249
35.0,3,20.791714
0.0,6,20.800791
30.0,4,20.80677
35.0,3,20.812019
35.0,3,20.818
35.0,3,20.823398
5.0,1,20.826371
5.0,1,20.829509
43.333333,6,20.838588
30.0,2,20.842652
35.0,3,20.847904
0.0,6,28.612943
-15.0,9,28.626217
-15.0,9,28.639613
30.0,2,28.644184
30.0,2,28.648416
5.0,9,28.661921
0.0,6,28.67043
-15.0,9,28.681969
5.0,1,28.685023
5.0,1,28.688497
35.0,3,28.693973
30.0,2,28.698383
35.0,3,28.703641
0.0,6,28.712324
30.0,2,28.716329
0.0,6,28.725589
30.0,2,28.730032
0.0,6,28.73894
5.0,1,28.742194
35.0,3,28.747536
-15.0,9,28.760033
-30.0,12,28.776085
5.0,1,28.779241
5.0,1,28.782474
0.0,6,28.792011
30.0,2,28.796456
35.0,3,28.802135
0.0,6,28.811275
0.0,6,28.820643
0.0,6,28.829707
30.0,2,28.833901
0.0,6,28.843882
5.0,1,28.848391
5.0,1,28.85303
5.0,1,28.856713
0.0,6,28.866996
0.0,6,28.876536
30.0,2,28.881342
5.0,1,28.884481
-20.0,14,28.904664
35.0,3,28.91065
35.0,3,28.916656
35.0,3,28.922572
-15.0,9,28.93512
-30.0,12,28.95184
-30.0,12,28.967723
-45.0,15,28.988503
5.0,1,28.991389
0.0,6,29.000489
0.0,6,29.00916
30.0,2,29.014443
0.0,6,29.024335
5.0,1,29.027255
0.0,6,29.036578
0.0,6,29.045485
35.0,3,29.051683
35.0,3,29.057315
43.333333,6,29.06682
35.0,3,29.072164
30.0,2,29.076159
30.0,2,29.080487
-35.0,13,29.098031
-5.0,7,29.107997
30.0,2,29.112406
-15.0,9,29.125192
0.0,6,29.134494
30.0,2,29.138826
5.0,1,29.142685
-15.0,9,29.238823
35.0,3,29.268282
-15.0,9,29.299202
43.333333,6,29.310741
35.0,3,29.318309
30.0,2,29.323427
30.0,2,29.328508
30.0,2,29.333514
35.0,3,29.34081
5.0,1,29.344637
35.0,3,29.351635
0.0,6,29.362029
35.0,3,29.368248
0.0,6,29.378278
30.0,2,29.382879
35.0,3,29.388271
30.0,2,29.393868
30.0,2,29.398881
30.0,2,29.40375
0.0,6,29.413272
5.0,1,29.416659
35.0,3,29.422888
0.0,6,29.43219
30.0,2,29.439008
35.0,3,29.445572
5.0,1,29.449065
-15.0,9,29.463342
5.0,1,29.466755
0.0,6,29.477991
-5.0,7,29.491034
0.0,6,29.513266
-10.0,8,29.530074
48.333333,5,29.541071
-30.0,12,29.560682
0.0,6,29.571355
0.0,6,29.581308
35.0,3,29.587398
35.0,3,29.593936
0.0,6,29.602765
5.0,1,29.605999
-30.0,12,29.623129
-15.0,9,29.638663
35.0,3,29.646349
-15.0,9,29.659432
35.0,3,29.665042
43.333333,6,29.674035
35.0,3,29.679568
35.0,3,29.685196
35.0,3,29.69179
-5.0,7,29.702319
35.0,3,29.707547
-30.0,12,29.723642
30.0,2,29.728201
30.0,2,29.732675
5.0,1,29.735829
5.0,1,29.739211
5.0,1,29.742669
30.0,2,29.746612
0.0,6,29.755531
-15.0,9,29.768135
-10.0,12,29.784453
35.0,3,29.790263
-15.0,9,29.803043
35.0,3,29.808467
-15.0,9,29.821522
30.0,2,29.825941
30.0,2,29.830272
5.0,1,29.833229
30.0,2,29.837661
35.0,3,29.843029
-15.0,9,29.85572
-45.0,15,29.875034
0.0,6,29.884307
