#{"t_start": 1742229566.614126, "env_id": "None"}
r,l,t
0.0,6,31.388852
5.0,1,31.393165
30.0,2,31.469939
17.0,11,31.696171
0.0,6,31.777792
5.0,1,31.782091
30.0,2,31.856673
66.666667,6,31.935353
30.0,2,32.015862
5.0,1,32.019428
0.0,6,32.165445
30.0,2,32.168891
5.0,1,32.171803
35.0,3,32.250274
-5.0,7,32.39599
30.0,2,32.399504
30.0,2,32.476455
-55.0,21,32.839258
0.0,6,32.99088
35.0,3,32.995889
5.0,1,33.075747
-5.0,7,33.157849
-15.0,9,33.397968
30.0,4,33.478189
5.0,1,33.480932
32.5,8,33.68348
15.0,7,33.840041
5.0,1,33.842907
-20.0,10,33.998121
30.0,2,34.266679
-15.0,9,34.412856
35.0,3,34.490881
35.0,3,34.564404
30.0,2,34.569149
5.0,1,34.571781
5.0,1,34.643225
-15.0,9,34.79724
5.0,1,34.801662
5.0,1,34.804485
5.0,1,34.875986
5.0,1,34.8787
-20.0,10,35.03002
5.0,1,35.102659
-15.0,9,35.250751
30.0,2,35.253988
5.0,1,35.327751
30.0,2,35.33147
5.0,1,35.33437
5.0,1,35.409801
30.0,2,35.414564
5.0,1,35.417168
35.0,3,35.491205
-15.0,9,35.640067
35.0,3,35.714152
-35.0,17,36.007322
30.0,2,36.081829
22.0,10,36.224743
5.0,1,36.296773
33.333333,8,36.452472
5.0,1,36.455091
30.0,2,36.458525
-30.0,12,36.703365
35.0,3,36.786071
35.0,3,36.863518
35.0,3,36.938307
30.0,2,36.944205
-15.0,9,37.100115
-5.0,7,37.248187
0.0,6,37.395724
0.0,6,37.505554
35.0,3,37.58971
10.0,12,37.883059
30.0,4,37.963771
30.0,2,37.969172
0.0,6,38.163246
30.0,2,38.166958
-15.0,13,38.485542
35.0,3,38.49116
30.0,2,38.563761
-15.0,9,38.911864
35.0,3,38.983174
35.0,3,39.098516
5.0,1,39.101275
30.0,2,39.105346
-15.0,9,39.340744
-5.0,7,39.420113
-5.0,7,39.572678
35.0,3,39.660204
0.0,6,39.74044
0.0,6,39.895909
5.0,1,39.89896
30.0,2,39.97274
5.0,1,39.975389
-15.0,9,40.128092
30.0,2,40.199554
38.333333,7,40.275526
5.0,1,40.348322
0.0,6,40.438465
35.0,3,40.515096
25.0,3,40.592781
-30.0,12,40.811807
30.0,2,40.816512
25.0,3,40.889166
5.0,1,40.892533
-45.0,19,41.288719
0.0,6,41.369951
5.0,1,41.444249
30.0,4,41.520391
5.0,1,41.523569
30.0,2,41.528087
0.0,6,41.685014
25.0,3,41.758634
38.333333,7,41.837251
-15.0,9,42.051161
-10.0,12,42.270564
5.0,1,42.273363
5.0,1,42.27648
0.0,6,42.45008
5.0,1,42.453457
48.333333,5,42.533037
-15.0,9,42.684399
48.333333,5,42.840443
35.0,3,42.844435
5.0,1,42.926006
30.0,2,42.929415
10.0,8,43.090525
5.0,1,43.093501
0.0,6,43.243658
30.0,2,43.247477
5.0,1,43.52079
5.0,1,43.523664
-15.0,9,43.6687
0.0,6,43.814101
35.0,3,43.820177
30.0,2,43.892544
30.0,4,43.967246
5.0,1,43.970081
30.0,2,44.046242
5.0,1,44.048863
35.0,3,44.123527
-35.0,13,44.349387
37.5,7,44.499989
30.0,2,44.503324
30.0,2,44.574256
5.0,1,44.577088
0.0,6,44.654361
35.0,3,44.730666
30.0,4,44.803834
35.0,3,44.87759
35.0,3,44.953888
0.0,6,45.028262
35.0,3,45.102018
5.0,1,45.104822
5.0,1,45.108793
35.0,3,45.186909
-15.0,9,45.332451
5.0,1,45.410524
5.0,1,45.414342
5.0,1,45.41679
30.0,2,45.509068
0.0,6,45.584932
35.0,3,45.661357
30.0,2,45.665054
-15.0,9,45.892749
25.0,5,45.970123
30.0,4,46.045737
35.0,3,46.119814
-20.0,14,46.341576
35.0,3,46.414896
35.0,3,46.502151
35.0,3,46.506651
0.0,6,46.675428
30.0,2,46.679155
30.0,2,46.752834
30.0,4,46.827808
48.333333,5,46.907061
35.0,3,46.979439
5.0,1,46.98331
-15.0,9,47.13202
35.0,3,47.409023
5.0,1,47.411817
0.0,6,47.61639
35.0,3,47.690657
5.0,1,47.693615
43.333333,6,47.768894
35.0,3,47.850163
5.0,1,47.853227
30.0,2,47.929639
30.0,2,47.933099
30.0,2,48.011849
43.333333,6,48.093975
0.0,6,48.247044
35.0,3,48.326094
30.0,4,48.400894
30.0,4,48.475431
-5.0,7,48.554946
35.0,3,48.627228
53.333333,4,48.703846
30.0,4,48.780575
5.0,1,48.783306
22.0,10,49.01025
30.0,2,49.014776
5.0,1,49.088411
0.0,6,49.164801
25.0,3,49.240245
30.0,2,49.244973
5.0,9,49.493176
5.0,1,49.496414
35.0,3,49.573922
5.0,1,49.578777
48.333333,5,49.680068
5.0,13,49.978501
30.0,2,50.060714
43.333333,6,50.138924
30.0,2,50.215606
15.0,7,50.369823
38.333333,7,50.455639
53.333333,4,50.564191
5.0,1,50.655066
30.0,2,50.658827
30.0,2,50.766019
-30.0,12,51.049194
30.0,2,51.054138
35.0,3,51.154622
30.0,2,51.158259
-15.0,9,51.430506
53.333333,4,51.506198
35.0,3,51.510705
27.5,9,51.727508
-15.0,9,52.098315
30.0,2,52.101763
-15.0,9,52.31023
48.333333,5,52.391113
35.0,3,52.465009
35.0,3,52.469047
5.0,1,52.537154
35.0,3,52.541507
-10.0,4,52.614833
35.0,3,52.685918
30.0,2,52.755578
0.0,6,52.827786
-5.0,11,53.071477
-25.0,15,53.388856
35.0,3,53.393801
30.0,2,53.465276
-15.0,9,53.610106
-10.0,16,53.891866
35.0,3,53.961339
35.0,3,54.03166
53.333333,4,54.10595
-20.0,14,54.316163
48.333333,5,54.389279
-20.0,14,54.665731
5.0,9,54.821638
27.5,9,54.966926
1.666667,14,55.242603
30.0,2,55.246597
15.0,7,55.395747
25.0,3,55.468492
0.0,6,55.542821
-15.0,9,55.750828
5.0,1,55.754879
0.0,6,55.827853
35.0,3,55.899007
5.0,1,55.90182
0.0,6,56.043881
30.0,4,56.116403
5.0,1,56.120174
5.0,1,56.123149
35.0,3,56.1943
0.0,6,56.333331
5.0,9,56.475596
30.0,2,56.479172
35.0,3,56.550675
-15.0,9,56.691961
5.0,1,56.76161
35.0,3,56.765849
30.0,2,56.836792
5.0,1,56.840071
5.0,1,57.027458
-70.0,20,57.386847
10.0,8,57.529372
0.0,6,57.683382
-10.0,12,57.911823
30.0,4,57.990774
-15.0,9,58.140966
25.0,3,58.228224
48.333333,5,58.321634
-5.0,7,58.536891
30.0,2,58.541647
5.0,1,58.614619
5.0,1,58.617384
35.0,3,58.690213
5.0,1,58.694918
30.0,2,58.698215
-15.0,19,59.053771
-15.0,9,59.192909
-35.0,13,59.474837
30.0,2,59.478488
53.333333,4,59.552164
-20.0,14,59.829618
35.0,3,59.835216
-10.0,18,60.247191
5.0,1,60.250632
5.0,1,60.253689
35.0,3,60.326203
-5.0,11,60.537576
5.0,1,60.540259
-5.0,7,60.68339
5.0,1,60.687298
-5.0,7,60.827032
43.333333,6,60.900513
30.0,4,60.97201
5.0,1,61.042836
5.0,1,61.045931
30.0,2,61.049392
35.0,3,61.12025
0.0,6,61.260678
35.0,3,61.264637
30.0,2,61.335304
30.0,2,61.338462
5.0,1,61.408708
35.0,3,61.413827
0.0,6,61.553088
30.0,4,61.624784
48.333333,5,61.697239
38.333333,7,61.846089
35.0,3,61.920825
0.0,6,61.999378
35.0,3,62.268997
35.0,3,62.340011
-20.0,10,62.483032
5.0,1,62.486227
5.0,1,62.557143
5.0,1,62.559748
-18.571429,18,62.881157
10.0,8,63.022228
22.0,10,63.232166
35.0,3,63.302435
5.0,1,63.306087
-15.0,9,63.446405
35.0,3,63.519398
35.0,3,63.590673
0.0,6,63.662826
-15.0,9,63.805199
30.0,2,63.877661
35.0,12,64.094214
32.5,8,64.23448
35.0,3,64.305132
0.0,6,64.378769
-20.0,10,64.586213
35.0,3,64.590536
5.0,1,64.659219
15.0,7,64.733375
35.0,3,64.803388
35.0,3,64.874525
0.0,10,65.016074
-5.0,7,65.164941
-20.0,10,65.386252
53.333333,4,65.464684
5.0,1,65.467364
10.0,8,65.620004
35.0,3,65.693212
39.0,13,65.904524
-15.0,13,66.121946
5.0,9,66.268619
37.5,7,66.40871
5.0,1,66.41192
5.0,1,66.480921
-15.0,9,66.622914
-30.0,12,66.834303
53.333333,4,66.908285
35.0,3,66.988159
30.0,2,66.99291
5.0,1,66.99576
-15.0,9,67.211326
50.0,9,67.362128
-20.0,10,67.512489
-30.0,12,67.727296
0.0,6,68.063986
30.0,4,68.138369
5.0,1,68.142227
-45.0,15,68.422501
-40.0,18,68.701618
5.0,1,68.770614
-30.0,12,68.97975
35.0,3,68.984437
30.0,4,69.0558
0.0,10,69.264701
0.0,6,69.339075
25.0,3,69.408981
15.0,7,69.54971
35.0,3,69.620481
-15.0,9,69.76204
27.5,9,69.902855
0.0,6,70.041314
0.0,6,70.116997
5.0,1,70.120913
5.0,1,70.189823
30.0,2,70.19389
5.0,1,70.196354
0.0,6,70.337983
5.0,1,70.34117
30.0,2,70.411497
30.0,2,70.414505
15.0,7,70.557341
5.0,1,70.560061
30.0,2,70.629152
0.0,6,70.700796
5.0,1,70.705405
0.0,6,70.844854
35.0,3,70.915747
0.0,6,70.987054
35.0,3,71.059326
5.0,1,71.061775
5.0,1,71.064658
30.0,2,71.134678
0.0,6,71.208007
-20.0,14,71.486365
27.5,9,71.679728
35.0,3,71.750119
35.0,3,71.822412
5.0,1,71.824886
0.0,6,71.89832
5.0,1,71.968158
-60.0,18,72.249056
30.0,4,72.320432
-15.0,9,72.464424
35.0,3,72.535552
5.0,1,72.727942
-30.0,12,72.942678
35.0,3,73.013669
30.0,2,73.083139
32.5,8,73.226829
35.0,3,73.23138
-15.0,9,73.438235
-15.0,9,73.581065
5.0,1,73.585482
-15.0,9,73.725244
35.0,3,73.798682
-15.0,9,73.939926
5.0,1,74.010452
30.0,2,74.014336
0.0,6,74.155648
32.5,8,74.2968
0.0,6,74.370732
30.0,2,74.44091
30.0,2,74.444263
35.0,3,74.514462
30.0,2,74.519587
5.0,1,74.589278
30.0,2,74.593719
-30.0,12,74.811836
5.0,1,74.81645
0.0,6,74.955556
-60.0,18,75.253199
30.0,2,75.326121
35.0,3,75.400435
0.0,6,75.475027
0.0,10,75.687319
35.0,3,75.692072
5.0,1,75.763022
